index,latitude,longitude
248,40.450552,-79.843714
249,40.446346,-79.848293
250,40.446356,-79.848478
251,40.458883,-79.958319
252,40.458167,-79.960375
253,40.456856,-79.963457
254,40.455628,-79.966354
255,40.455609,-79.965861
256,40.458491,-79.957361
257,40.457811,-79.960568
258,40.456515,-79.963573
259,40.419637,-79.933939
260,40.419007,-79.938219
261,40.41972,-79.93405
262,40.419436,-79.935843
263,40.419321,-79.936069
264,40.418954,-79.939746
265,40.468937,-79.927744
266,40.468697,-79.927814
267,40.469699,-79.930002
268,40.469668,-79.930288
269,40.470645,-79.932998
270,40.435258,-79.986446
271,40.435127,-79.956313
272,40.435763,-79.960712
273,40.435907,-79.961346
274,40.434401,-79.953028
275,40.434261,-79.953
276,40.434792,-79.989189
277,40.436144,-79.979382
278,40.435907,-79.958766
279,40.435732,-79.958287
280,40.434921,-79.956109
281,40.436323,-79.977623
282,40.435504,-79.984211
283,40.43588,-79.981367
284,40.435721,-79.982657
285,40.434591,-79.954474
286,40.434498,-79.954735
287,40.453201,-79.751396
288,40.406147,-79.873298
289,40.404908,-79.871153
290,40.405016,-79.87168
291,40.402413,-79.867628
292,40.436718,-79.896299
293,40.430681,-79.892686
294,40.403735,-79.869129
295,40.403839,-79.869611
296,40.423888,-79.887478
297,40.423781,-79.887117
298,40.428813,-79.891741
299,40.407075,-79.875062
300,40.407059,-79.875381
301,40.435703,-79.895856
302,40.435889,-79.896184
303,40.432721,-79.893899
304,40.432889,-79.894252
305,40.434105,-79.894905
306,40.434326,-79.895278
307,40.404578,-79.830129
308,40.431965,-79.893569
309,40.431652,-79.893099
310,40.400355,-79.833661
311,40.402119,-79.831867
312,40.401847,-79.866532
313,40.436825,-79.896579
314,40.430708,-79.892475
315,40.428685,-79.891883
316,40.438366,-79.897256
317,40.414149,-79.853082
318,40.414427,-79.855306
319,40.45568,-79.972624
320,40.455805,-79.972614
321,40.456387,-79.970304
322,40.456667,-79.967219
323,40.456494,-79.969242
324,40.402158,-79.841503
325,40.405791,-79.844094
326,40.403371,-79.842802
327,40.40347,-79.843167
328,40.401564,-79.84151
329,40.400341,-79.841272
330,40.404898,-79.843661
331,40.405036,-79.843997
332,40.402252,-79.841942
333,40.401513,-79.841221
334,40.400203,-79.841072
335,40.435287,-79.871644
336,40.422466,-79.863835
337,40.411231,-79.851901
338,40.411084,-79.852045
339,40.41169,-79.854138
340,40.424611,-79.868741
341,40.421606,-79.861265
342,40.410147,-79.850928
343,40.431366,-79.873026
344,40.427529,-79.873178
345,40.406796,-79.848053
346,40.425413,-79.86937
347,40.40578,-79.845762
348,40.41974,-79.858866
349,40.422939,-79.866316
350,40.422761,-79.866536
351,40.41277,-79.857871
